company_name,company_domain,linkedin_slug,employees,size_band,decision,confidence,fit_score,rationale,checked_at
Organon Latam,organon.com,organonlatam,146,50-200,not_fit,high,18,"Organon is an independent global healthcare company focused on women's health, biosimilars, and established brands, but it is the spun-off global Organon group, not a small-to-mid standalone pharma company. The website shows a worldwide footprint, and the company is part of a much larger global organization rather than a 50-2000 employee independent firm; it also appears to be a regional Latin America entity, not a clearly qualifying EU hiring operation for this local page.",2026-05-21T16:40:19.521387+00:00
LIMAGRAIN,,groupe-limagrain,7614,,not_fit,high,0,7614 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:19.521387+00:00
Mastelli Bio-Pharmaceutical Company Italy,mastelli.com,mastelli,143,50-200,not_fit,medium,38,"Mastelli's website shows it is an Italian bio-pharmaceutical company focused on drugs, medical devices, dermocosmetics and food supplements, with products in dermatology, aesthetic medicine, gynecology and orthopedics. However, the site also states it sells cosmetics and supplements, which are outside the ICP focus, and the available evidence does not show a clear fit to biotech or small-to-mid pharma drug development in the sense required. The company does have an EU location in Sanremo, but based on the website this is not a strong ICP match.",2026-05-21T16:40:22.537288+00:00
PSI CRO,,psi-cro-ag,2879,,not_fit,high,0,2879 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:22.538290+00:00
Excelya,excelya.com,excelya,698,201-1000,not_fit,high,24,"Excelya is a CRO, but its website explicitly says it provides Full-Service CRO, FSP, and Resourcing solutions, so it is at least partly a staffing/recruitment/services agency rather than a pure pharma/biotech company. It also mentions medical device, cosmetics, and nutrition work, and the apparent headcount is under 2000 globally, but the staffing/resourcing element disqualifies it under the ICP.",2026-05-21T16:40:25.718079+00:00
ACS DOBFAR,acsdobfar.it,acs-dobfar,1051,1001-2000,fit,high,92,"ACS DOBFAR's website says it is a privately held Italian pharmaceutical company and a fully integrated manufacturer of APIs and finished dosage forms, with custom development/manufacturing and R&D activities. It also shows an EU hiring/location in Italy (Tribiano, with jobs seen in Agrate Brianza), and the stated global headcount is around 1,051, which is within the ICP range.",2026-05-21T16:40:28.604934+00:00
Kanters Special Products,,kanters-special-products,44,,not_fit,high,0,44 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:28.604934+00:00
MSD in the UK,msd-uk.com,msd-in-the-uk,406,201-1000,not_fit,high,12,"The website shows MSD in the UK is Merck Sharp & Dohme, the UK affiliate of Merck & Co., a global big-pharma group far above the 2,000 employee cap, so the company-level size criterion is not met. Although it operates in the UK and is clearly pharma/biopharma, this is a local affiliate of a much larger parent, which disqualifies it under the ICP.",2026-05-21T16:40:31.450364+00:00
Krka,,krka,4608,,not_fit,high,0,4608 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:31.451386+00:00
B-Hive Switzerland,,b-hive-switzerland,42,,not_fit,high,0,42 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:31.451386+00:00
Luxfer MEL Technologies,luxfermeltechnologies.com,luxfer-mel-technologies,197,50-200,not_fit,high,10,"The company website describes Luxfer MEL Technologies as a manufacturer of magnesium and zirconium materials for industrial markets such as aerospace, automotive, healthcare, and defense, not as a biotech, pharma, CRO, or CDMO running clinical trials. Although it has an operational site in Manchester, the business is a materials/manufacturing company rather than an ICP target for PhD-level pharma/biotech recruitment.",2026-05-21T16:40:34.424801+00:00
CSL,,csl,23218,,not_fit,high,0,23218 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:34.424801+00:00
Stryker,,stryker,50873,,not_fit,high,0,50873 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:34.425834+00:00
Rho,rhoworld.com,rhoworld,789,201-1000,fit,high,94,"Rho's website says it is a global CRO providing clinical development services, including clinical trials, regulatory strategy, and drug development support across drugs and biologics. The company also has job locations in the United Kingdom, and the LinkedIn headcount of 501-1,000 fits the required global size range.",2026-05-21T16:40:37.190524+00:00
PharmaRelations,pharmarelations.com,pharmarelations-ab,169,50-200,not_fit,high,6,"The website describes PharmaRelations as a life science consulting group offering consulting, outsourcing, interim support, and recruitment, not as a biotech, pharma, CRO, or CDMO developing drugs. Its own site says it is a consulting partner for medtech, biotech, and diagnostics, and the company is clearly a staffing/recruitment agency, which is excluded by the ICP.",2026-05-21T16:40:40.016065+00:00
Alignerr,,alignerr,3236,,not_fit,high,0,3236 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:40.016508+00:00
Mundipharma,,mundipharma,2075,,not_fit,high,0,2075 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:40.016508+00:00
Cytokinetics,cytokinetics.com,cytokinetics,765,201-1000,fit,high,93,"Cytokinetics' website describes it as a late-stage biopharmaceutical company focused on discovering, developing, and commercializing small-molecule medicines for heart failure, hypertrophic cardiomyopathy, and neuromuscular diseases. Public profile data shows roughly 765 employees globally, and the scrape indicates a London, United Kingdom job location, so it meets the industry, size, and EU/UK presence criteria.",2026-05-21T16:40:44.490662+00:00
Revolut,,revolut,17933,,not_fit,high,0,17933 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:44.490662+00:00
Perceptive Inc.,perceptive.com,perceptive-inc,1252,1001-2000,fit,high,93,"Perceptive's website says it is a clinical research organization providing preclinical imaging, clinical trial imaging, core lab services, and RTSM to pharmaceutical and biotech clients, including support for drug development across oncology and radioligand therapy. The site also shows multiple EU/UK locations including London, Nottingham, and Berlin, and the provided headcount of 1252 is within the ICP range.",2026-05-21T16:40:47.416450+00:00
A1 Telekom Austria AG,,a1-telekom-austria-ag,4217,,not_fit,high,0,4217 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:47.416822+00:00
Cyted Health,cytedhealth.com,cyted-ltd,74,50-200,fit,high,91,"Cyted Healths website describes it as a gastrointestinal health company and a leading gastrointestinal molecular diagnostics company developing non-endoscopic diagnostics for early disease detection, including clinical validation studies and an existing UK deployment. The site also shows operations and hiring in the UK and the US, and the LinkedIn headcount of 74 is within the ICP size range.",2026-05-21T16:40:50.014955+00:00
Health Hope Pharma,,health-hope-pharma,8,,not_fit,high,0,8 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:50.014955+00:00
Everest Clinical Research,ecrscorp.com,everest-clinical-research-services-inc-,639,201-1000,fit,high,94,"Everest Clinical Research states on its website that it is a full-service CRO providing clinical trial support to pharmaceutical and biotechnology companies, with services including clinical operations, biostatistics, regulatory strategy, pharmacovigilance, and medical writing. Its public materials also show an EU/UK location in Sofia, Bulgaria/Europe and a global headcount of about 700, which fits the ICP size and geography requirements.",2026-05-21T16:40:52.864011+00:00
Novanta Inc.,,novanta-inc,2194,,not_fit,high,0,2194 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:52.864011+00:00
Enovis,,enovis,3799,,not_fit,high,0,3799 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:52.865007+00:00
MSD España,msd.es,msd-espana,460,201-1000,not_fit,high,15,"MSD Espana is part of Merck & Co. / MSD, a large global biopharmaceutical group with well over 2000 employees worldwide, so the local 460-person Spain entity is not eligible under the size rule. While the website shows drug and vaccine research plus clinical trials and a Madrid location, the parent group size disqualifies it from this ICP.",2026-05-21T16:40:55.769498+00:00
"PTC Therapeutics, Inc.",ptcbio.com,ptc-therapeutics,1148,1001-2000,fit,high,90,"PTC Therapeutics states on its official website that it is a global biopharmaceutical company focused on discovering, developing, and commercializing medicines for rare diseases, which fits the biotech/pharma criteria. The scrape also shows a job location in Madrid, Spain, so it has an EU hiring presence, and the company profile indicates a global headcount in the target range rather than a large pharma affiliate.",2026-05-21T16:40:58.791065+00:00
Worldwide Clinical Trials,,worldwide-clinical-trials-inc-,4163,,not_fit,high,0,4163 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:40:58.791065+00:00
Madrigal Pharmaceuticals,madrigalpharma.com,madrigal-pharmaceuticals-inc-,1105,1001-2000,fit,medium,86,"Madrigal Pharmaceuticals states on its website that it is a biopharmaceutical company developing novel therapeutics for MASH (NASH) and has the first FDA-approved treatment in this disease area, which fits the biotech/pharma criteria. The company also appears to have EU/UK hiring locations in the scrape (Milan and Cannock Chase), and the listed global headcount is within the 50-2000 range.",2026-05-21T16:41:01.878068+00:00
Neuraxpharm,neuraxpharm.com,neuraxpharm,913,201-1000,fit,high,94,"Neuraxpharm states on its website that it is a European specialty pharmaceutical company focused on CNS disorders, with an active pipeline including new chemical and biologic entities, orphan drugs, and an R&D hub in Germany. The site also shows operational presence in Europe, including headquarters in Spain and Germany, and the company size is around 1,000 employees, which fits the ICP range.",2026-05-21T16:41:04.985045+00:00
Viatris,,viatris,17739,,not_fit,high,0,17739 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:41:04.985045+00:00
Amplity,amplity.com,amplity-health,829,201-1000,not_fit,high,18,"Amplity's website describes it as a full-service partner for outsourced medical and commercial services, including sales, learning, and recruiting, which makes it a pharma services/staffing agency rather than a biotech, pharma, CRO, or CDMO running clinical trials in-house. Although it has EU job locations and 1,000+ employees, the site does not show a qualifying drug-development company under the ICP and instead emphasizes outsourcing and commercial services.",2026-05-21T16:41:08.073681+00:00
Gilead Sciences,,gilead-sciences,14654,,not_fit,high,0,14654 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:41:08.073681+00:00
Galderma,,galderma-,8659,,not_fit,high,0,8659 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:41:08.074735+00:00
Novo Nordisk,,novo-nordisk,62746,,not_fit,high,0,62746 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:41:08.074735+00:00
Savant Chemicals,,savant-chemicals,12,,not_fit,high,0,12 employees is outside the ICP 50-2000 band; dropped on size before website research.,2026-05-21T16:41:08.074735+00:00
Aios,aios.ph,aios-medical,112,50-200,not_fit,medium,18,"The company's own site describes AIOS as an AI operating system for consumer healthcare and brand infrastructure for products like Bolt Pharmacy and Fella Health, which points to a healthcare/tech platform rather than a biotech, pharma, CRO, or CDMO with in-house clinical trials. I also found no evidence on the website of EU/EEA/UK/Swiss operational hiring presence beyond a scraped job location, so it does not meet the ICP requirements.",2026-05-21T16:41:10.917788+00:00
